path;header;created;author;birthday;header_trans;author_trans;translator;date_trans;sphere;lang;lang_trans;lang_variant;__num__;comments
kor-rus xml/0X1=LOVESONG (I Know I Love You) by TXT.xml;0X1=LOVESONG (I Know I Love You);2021;TXT;;0X1=LOVESONG (I Know I Love You);TXT;dorion;;художественная;kor;rus;;0;
kor-rus xml/10 Months by ENHYPEN.xml;10 Months;2020;ENHYPEN;;10 Months;ENHYPEN;Varennik;;художественная;kor;rus;;1;
kor-rus xml/19 by Stray Kids.xml;19;2019;Stray Kids;;19;Stray Kids;Мин Криветка;;художественная;kor;rus;;2;
kor-rus xml/24 hash 7 by TWICE.xml;24 hash 7;2017;TWICE;;24 hash 7;TWICE;Yooko;;художественная;kor;rus;;3;
kor-rus xml/24 HOURS by SUNMI.xml;24 HOURS;2014;SUNMI;;24 HOURS;SUNMI;ArchiePark;;художественная;kor;rus;;4;
kor-rus xml/24 to 25 by Stray Kids.xml;24 to 25;2021;Stray Kids;;24 to 25;Stray Kids;Varennik;;художественная;kor;rus;;5;
kor-rus xml/2U by KANG DANIEL.xml;2U;2020;KANG DANIEL;;2U;KANG DANIEL;cuzcus;;художественная;kor;rus;;6;
kor-rus xml/30sexy by RAIN.xml;30sexy;2014;RAIN;;30sexy;RAIN;Varennik;;художественная;kor;rus;;7;
kor-rus xml/3rd Eye by Stray Kids.xml;3rd Eye;2018;Stray Kids;;3rd Eye;Stray Kids;Varennik;;художественная;kor;rus;;8;
kor-rus xml/A Lie by B1A4.xml;A Lie;2016;B1A4;;A Lie;B1A4;chatterbox;;художественная;kor;rus;;9;
kor-rus xml/A-Yo by SHINee.xml;A-Yo;2010;SHINee;;A-Yo;SHINee;hyori033;;художественная;kor;rus;;10;
kor-rus xml/Adulthood by KANG DANIEL.xml;Adulthood;2019;KANG DANIEL;;Adulthood;KANG DANIEL;ArchiePark;;художественная;kor;rus;;11;
kor-rus xml/Alcohol-Free by TWICE.xml;Alcohol-Free;2021;TWICE;;Alcohol-Free;TWICE;Анна Савостьянова;;художественная;kor;rus;;12;
kor-rus xml/All In by MONSTA X.xml;All In;2016;MONSTA X;;All In;MONSTA X;Vesna7Ника;;художественная;kor;rus;;13;
kor-rus xml/Alligator by MONSTA X.xml;Alligator;2019;MONSTA X;;Alligator;MONSTA X;Ира Серёгина;;художественная;kor;rus;;14;
kor-rus xml/Antidote by KANG DANIEL.xml;Antidote;2021;KANG DANIEL;;Antidote;KANG DANIEL;WALLE;;художественная;kor;rus;;15;
