song_id	title	artist	translator	year	type_of_artist	artist_gender
0	0325	Stray Kids	2018	Varennik	group	male
1	0X1=LOVESONG (I Know I Love You)	TXT	2021	dorion	group	male
2	10 Months	ENHYPEN	2020	Varennik	group	male
3	19	Stray Kids	2019	Мин Криветка	group	male
4	20cm	TOMORROW X TOGETHER	2019-10-21	Varennik	group	male
5	24 HOURS	SUNMI	2014	ArchiePark	soloist	female
6	24 to 25	Stray Kids	2021	Varennik	group	male
7	30sexy	RAIN	2014	Varennik	soloist	male
8	365	LOONA (South Korea)	2020-01-11	darrgie	group	female
9	3rd Eye	Stray Kids	2018	Varennik	group	male
10	5 시 53 분의 하늘 에서 발견한 너와 나 (Blue Hour)	TOMORROW X TOGETHER	2020-10-26	Varennik	group	male
11	9와 4분의 3 승강장에서 너를 기다려 (9 and Three Quarters) (Run Away)	TOMORROW X TOGETHER	2019-10-21	ArchiePark	group	male
12	A Lie	B1A4	2016	chatterbox	group	male
13	A-Yo	SHINee	2010	hyori033	group	male
14	Accident	WOODZ	2020	Pink and Pink sweater	soloist	male
15	Addicted	MONSTA X	2021	eternal sunshine	group	male
16	Adulthood	KANG DANIEL	2019	ArchiePark	soloist	male
17	Alcohol-Free	TWICE	2021-06-09	SimplyStar	group	female
18	All In	MONSTA X	2016	Vesna7Ника	group	male
19	Alligator	MONSTA X	2019	Ира Серёгина	group	male
20	Angel or Devil	TOMORROW X TOGETHER	2019-10-31	Varennik	group	male
21	Anti-Romantic	TOMORROW X TOGETHER	2021-05-31	Varennik	group	male
22	Antidote	KANG DANIEL	2021	WALLE	soloist	male
23	Astronaut	Stray Kids	2019	ArchiePark	group	male
24	Attention, please!	ENHYPEN	2021-10-12	Varennik	group	male
25	Awaken	Stray Kids	2018	Varennik	group	male
26	Baby Don't Cry	BIGBANG	2011	Лунный свет	group	male
27	Baby Good Night	G-DRAGON	2010	io _	soloist	male
28	Back	INFINITE	2014	Yummi	group	male
29	Bad Boy	Red Velvet	2018	Mira1199	group	female
30	Be Honest	LOONA (South Korea)	2021-06-28	Stasya533	group	female
31	BEASTMODE	MONSTA X	2020	Moonarelight	group	male
32	Beautiful Goodbye	G.Soul	2015	SindArytiy	soloist	male
33	Beautiful Night	MONSTA X	2020	Moonarelight	group	male
34	BEBE	MONSTA X	2021	eternal sunshine	group	male
35	Better and Better	WOODZ	2022	JustL	soloist	male
36	Bills	ENHYPEN	2023-05-22	Varennik	group	male
37	Bite Me	ENHYPEN	2023-05-22	dori	group	male
38	Black Dress	CLC	2018	ArchiePark	group	female
39	Black Pearl	SUNMI	2018	ArchiePark	soloist	female
40	Black Swan	BTS	2020	ArchiePark	group	male
41	Blessed-Cursed	ENHYPEN	2022	SofiaArmy	group	male
42	Blind	MONSTA X	2017	Vesna7Ника	group	male
43	Blue Spring	TOMORROW X TOGETHER	2023-10-04	darywzc	group	male
44	Blueming	IU	2019	8U	soloist	female
45	Booster	Stray Kids	2019	Varennik	group	male
46	Boxer	Stray Kids	2019	Varennik	group	male
47	Breathe For You	MONSTA X	2019	riav	group	male
48	BUCK	WOODZ	2020	saidenkook	soloist	male
49	BUMP BUMP	WOODZ	2020	Pink and Pink sweater	soloist	male
50	Burn	SUNMI	2014	ArchiePark	soloist	female
51	Burn It Up	MONSTA X	2019	ворон	group	male
52	Butter	BTS (Bangtan Boys)	2021-05-21	SimplyStar	group	male
53	Butterfly	LOONA (South Korea)	2020-05-13	luvusomad	group	female
54	Butterfly	Wheein	2021	WALLE	soloist	female
55	By My Side	MONSTA X	2018	ворон	group	male
56	Call	SUNMI	2021	Beautiful Life	soloist	female
57	Call Me Baby	EXO	2020-05-06	Melera	group	male
58	Can't Nobody	2NE1	2010	Jane Doe	group	female
59	Catallena	Orange Caramel	2014	8U	group	female
60	Chaconne	ENHYPEN	2023-05-22	Varennik	group	male
61	Chaotic	MONSTA X	2020	Ира Серёгина	group	male
62	Charmer	Stray Kids	2022	Varennik	group	male
63	Chase Me	Dreamcatcher	2017	8U	group	female
64	Chaser	WOODZ	2021	JustL	soloist	male
65	Chasing That Feeling	TOMORROW X TOGETHER	2023-10-13	darywzc	group	male
66	CHEER UP	TWICE	2016	LizaNetUki	group	female
67	CHEESE	Stray Kids	2021	pink peach	group	male
68	Cherry Bomb	NCT 127	2017	Del Del	group	male
69	Come see me	AOA	2019	ArchiePark	group	female
70	Cool	Weki Meki	2020	buchateri	group	female
71	Crayon	G-DRAGON	2012	io _	soloist	male
72	Crazy	4Minute	2015	ltdznm	group	female
73	Cream	EXID	2018-01-24	ArchiePark	group	female
74	Cream Soda	EXO	2023-07-10	darywzc	group	male
75	Criminal	TAEMIN	2020-09-07	Ира Серёгина	artist	male
76	Cry For Me	TWICE	2020	ArchiePark	group	female
77	Cyberpunk	ATEEZ	2022-07-29	tulipkin	group	male
78	Dally Dally	HYOLYN	2018	Mira1199	soloist	female
79	DIFFERENT	WOODZ	2018	KM_	soloist	male
80	Digital	KANG DANIEL	2021	lee_ji_soo	soloist	male
81	Do it !	HyunA	2016	SimplyStar	soloist	female
82	Don't Cry	2NE1	2011	Алена Тюрютикова	group	female
83	Don't Forget Me	miss A	2015	ltdznm	group	female
84	Don't Know You	HEIZE	2017	casey_lee	soloist	female
85	Don't Make Me Cry	Jessi	2017	Stasya533	soloist	female
86	Down	Jessi	2018	Stasya533	soloist	female
87	Drama	TOMORROW X TOGETHER	2020-05-18	Varennik	group	male
88	Dramarama	MONSTA X	2017	김다연	group	male
89	Drunk-Dazed	ENHYPEN	2021	ентан ест ким тэхена	group	male
90	DUMB DUMB	SOMI	2021	dorion	soloist	female
91	Déjà vu	MONSTA X	2017	Nastya Im	group	male
92	Easy	Wheein	2018	8U	soloist	female
93	Egoist	LOONA (South Korea)	2018-06-12	8U	artist	female
94	Energetic	WANNA ONE	2017	Pollin Min	group	male
95	Everybody	SHINee	2013	SimplyStar	group	male
96	Everyday I Love You	LOONA (South Korea)	2020-08-15	luvusomad	artist	female
97	Excuse me	AOA	2017	maria kwon	group	female
98	Fairy of Shampoo	TOMORROW X TOGETHER	2020-05-18	Varennik	group	male
99	Fake Love	BTS (Bangtan Boys)	2018-05-18	ArchiePark	group	male
100	Fake Love	BTS	2018	ArchiePark	group	male
101	Falling In Love	2NE1	2013	Viktoria_4	group	female
102	Fancy	TWICE	2019-04-22	ArchiePark	group	female
103	Fate	ENHYPEN	2023-05-22	Varennik	group	male
104	FEEL LIKE	WOODZ	2021	Pink and Pink sweater	soloist	male
105	Feel Special	TWICE	2019	namu_uwu	group	female
106	FEVER	ENHYPEN	2021	Varennik	group	male
107	Flicker	ENHYPEN	2020-11-30	Varennik	group	male
108	Forever (약속)	aespa	2021-02-05	riav	group	female
109	FOREVER 1	Girls' Generation	2022-08-05	SimplyStar	group	female
110	Full Moon	SUNMI	2014	ArchiePark	soloist	female
111	Future Perfect (Pass the MIC)	ENHYPEN	2022	SofiaArmy	group	male
112	Ghosting	TOMORROW X TOGETHER	2020-10-26	Varennik	group	male
113	Given-Taken	ENHYPEN	2020-11-30	Varennik	group	male
114	Go or Stop	SUNMI	2021	MM S	soloist	female
115	Good Boy Gone Bad	TOMORROW X TOGETHER	2022-05-09	Varennik	group	male
116	Good bye	Wheein	2019	darrgie	soloist	female
117	Good night	DAWN	2017	SimplyStar	soloist	male
118	Goodbye Baby	miss A	2011	ArchiePark	group	female
119	Gotta Go	CHUNG HA	2019	maria kwon	soloist	female
120	Gotta Talk To U	Seungri	2013	8U	soloist	male
121	Growing Pain	TOMORROW X TOGETHER	2023-10-13	darywzc	group	male
122	HAPPEN	HEIZE	2021	WALLE	soloist	female
123	Happily Ever After	TOMORROW X TOGETHER	2023-10-13	darywzc	group	male
124	Heart Attack	AOA	2015		group	female
125	Heart Attack	LOONA (South Korea)	2018-10-28	boykrash	artist	female
