song_id	line_id	line_orig	line_transl
0	0-1	하나둘씩 늘어가는 꿈에 벅차 no play	Одна за одной мечты растут и выходят за пределы игры
0	0-2	시작선의 신호탄을 쏘아 올려 높게	Стартовая ракета воспаряет высоко в небо
0	0-3	자신감을 앞으로 밀어붙여 밖으로	Помимо показа моей уверенности идти вперёд
0	0-4	발을 내딛고 떨림과 설렘 동시에 느껴 what	Чувствую нервозность и трепет, когда делаю шаг, ведь
0	0-5	쉬지 않고 달려 연습실에 추억	Вспоминаю о нас, бегущих в комнате для практик
0	1-1	힘들었던 순간들 no more	Тяжёлых времён больше нет
0	1-2	홀로 선 시간들 no more	Времени в одиночку больше нет
0	1-3	너와의 시작은 더이상 날 울리지 않아	Наше с тобой начало больше не заставит плакать
0	1-4	희미하게 빛나던 빛이 선명해져 가네	Тускло-сияющий свет становится яснее
0	2-1	You know we go up up yeah we don’t stop	Знаешь, мы идём вверх, да, без остановки
0	2-2	나의 꿈이 내 손끝에 닿을 때까지	До тех пор, пока не прикоснусь к мечте
0	2-3	You know we go up up till we touch the sky	Знаешь, мы идём вверх, да, пока не коснёмся неба
0	2-4	내게 보이지 않아도 저 끝까지 가	Даже не видя конца, дойду до него
0	2-5	This is our start line our start line our start line	Это наш старт, наш старт, наш старт
0	2-6	0325 너와의 시작이야	0325 наше начало
0	3-1	태어나 태어나 나 난 그때 다시 태어나	Рождён, рождён, тогда я переродился
0	3-2	아무것도 없던 흙에 아름다운 꽃이 피어나	Прекрасный цветок распустился из никчёмной земли
0	3-3	이런 내 곁에 stay 해준 넌 날 더 특별하게 해	Оставайся1 со мной вот так, ты делаешь меня особенней
0	3-4	같은 꿈으로 시작 더 큰 꿈을 향하게 돼	Начали с одной мечтой, дойдём до ещё величайшей
0	4-1	힘들었던 순간들 no more	Тяжёлых времён больше нет
0	4-2	홀로 선 시간들 no more	Времени в одиночку больше нет
0	4-3	멀어진다 멀어진다 길었던 혼란의 끝에 그 어둠이 멀어진다	Исчезает, исчезает, после долгого хаоса исчезает та тьма
0	4-4	희미하게 빛나던 빛이 선명해져 가네	Тускло-сияющий свет становится яснее
0	5-1	You know we go up up yeah we don’t stop	Знаешь, мы идём вверх, да, без остановки
0	5-2	나의 꿈이 내 손끝에 닿을 때까지	До тех пор, пока не прикоснусь к мечте
0	5-3	You know we go up up till we touch the sky	Знаешь, мы идём вверх, да, пока не коснёмся неба
0	5-4	내게 보이지 않아도 저 끝까지 가	Даже не видя конца, дойду до него
0	6-1	Can you stay right with me, with me	Можешь остаться2со мной, со мной?
